"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"
"W_po_A14569_pa"	0.068427667	0.200248163	0.200399287	0.123500684	0.198633515	0.198363081	0.194083866	0.19386911	0.068085648	0.192946454	0	0.065222233	0.121321307	0.201910534	0.203310426	0.195109923	0.193375966	0.191872673	0.203708123	0.204352391	0.20287296	0.203103624	0.197909707	0.193566861	0.197941523	0.200367472	0.068507206	0.194664503	0.194282715	0.203660399	0.201624193	0.198689192	0.199333461	0.199420954	0.198593745	0.193892972	0.200757214	0.199397092	0.199611848	0.201624193	0.200208393	0.200598136	0.203000223	0.198418759	0.198593745	0.228102828	0.199420954	0.200733352	0.200287932	0.200677675	0.19829945	0.198800547	0.197726767	0.199166428	0.123524546	0.121114505	0.068022016	0.123651809	0.194934937	0.06624829	0.193733893	0.202682065	0.203270656	0.198935764	0.18375171	0.1987051	0.194553148	0.200486781	0.193057809	0.069350323	0.203397919	0.204964844	0.066932328
"W_po_A16227_pa"	0.068650377	0.200104992	0.200812892	0.123802933	0.198490344	0.198092647	0.194672457	0.193296427	0.067878846	0.192787376	0.065222233	0	0.120939518	0.201687824	0.203914925	0.195316726	0.193598676	0.192588527	0.203851293	0.204527377	0.203572906	0.203787662	0.198084693	0.194060004	0.198196048	0.200144762	0.067505011	0.195253094	0.194728135	0.204074003	0.201656008	0.199102797	0.199317553	0.198959626	0.198275588	0.193813433	0.200995832	0.19919029	0.199341415	0.201894626	0.200351564	0.201107187	0.203779708	0.198355127	0.1987051	0.228595972	0.19945277	0.200701537	0.200176577	0.200359518	0.198029016	0.198911902	0.19807674	0.199405046	0.123126849	0.120796348	0.066256244	0.123508638	0.194998568	0.064880214	0.194099774	0.203891063	0.203906971	0.198999396	0.183465369	0.198880087	0.194409977	0.200582228	0.193471414	0.068968534	0.204320575	0.205426172	0.066645986
"W_po_A16298_suta"	0.121392892	0.190043269	0.191292037	0.085425217	0.189510356	0.188205911	0.185151602	0.184523241	0.121321307	0.184666412	0.121321307	0.120939518	0	0.192103337	0.194362254	0.185286819	0.183855111	0.183210843	0.19439407	0.195165601	0.193447552	0.193439598	0.188977443	0.184777767	0.188293405	0.190035315	0.122904139	0.186352645	0.185270911	0.194171359	0.190703446	0.189868283	0.189112659	0.189900099	0.18818205	0.184626642	0.190043269	0.189399001	0.190075085	0.192389679	0.190942064	0.191888581	0.193113487	0.18862747	0.188277497	0.218502434	0.18996373	0.191419299	0.18992396	0.189725112	0.188874042	0.188866088	0.188253635	0.190059177	0.084590054	0.082243645	0.120128217	0.084574147	0.185302727	0.122426903	0.184706182	0.193702078	0.193670262	0.189271738	0.175328497	0.189613757	0.185000477	0.190663676	0.184332347	0.121265629	0.193654354	0.195348541	0.121313353
"W_po_A24413_ma"	0.202061659	0.085353632	0.084502561	0.193089625	0.084757087	0.08421622	0.111259584	0.108690465	0.201624193	0.10827686	0.201910534	0.201687824	0.192103337	0	0.079666571	0.10969266	0.11036079	0.109159747	0.076564538	0.077176991	0.077383793	0.078203048	0.07956317	0.111362986	0.0765884	0.081273265	0.203620629	0.110599408	0.115212688	0.077344023	0.084502561	0.078258725	0.079491585	0.079435907	0.079722249	0.110750533	0.079658617	0.079841558	0.07837008	0.079952913	0.079968821	0.079690433	0.08142439	0.079865419	0.078211002	0.111617511	0.079690433	0.079459769	0.082386816	0.083046992	0.083134485	0.078115555	0.077550826	0.079101842	0.194099774	0.193169164	0.201258312	0.193479368	0.110010817	0.203700169	0.110496007	0.077733766	0.076938373	0.079889281	0.16347714	0.079833604	0.11408323	0.075824823	0.112810601	0.202618434	0.077940568	0.078553021	0.202379816
"W_po_A265_pu"	0.203859247	0.091287264	0.089084025	0.195237186	0.088813592	0.088018199	0.112086793	0.111076644	0.20358086	0.111013013	0.203310426	0.203914925	0.194362254	0.079666571	0	0.111681143	0.112858325	0.112691292	0.070424104	0.067425472	0.072293277	0.069915052	0.082442493	0.11244472	0.081758455	0.085520664	0.205163692	0.113765073	0.116867106	0.068706055	0.088368172	0.082267507	0.082307276	0.080963062	0.082410677	0.112007254	0.084224174	0.082307276	0.081488021	0.082323184	0.082370908	0.083762846	0.087405746	0.082506125	0.081933442	0.114433203	0.08373103	0.083659444	0.087493239	0.087469377	0.086729662	0.080501734	0.081320989	0.082506125	0.196167796	0.19461678	0.203437689	0.195229232	0.112317457	0.205386402	0.112866279	0.070941109	0.069763927	0.080605135	0.1654179	0.083651491	0.115530845	0.076111164	0.115069517	0.205036429	0.069111705	0.06926283	0.203668353
"W_po_A2725_pu"	0.19524514	0.110877796	0.109263148	0.186559448	0.108245045	0.107735993	0.093243931	0.091533836	0.19498266	0.090261207	0.195109923	0.195316726	0.185286819	0.10969266	0.111681143	0	0.091661099	0.091557698	0.110710763	0.111800452	0.110321021	0.11266743	0.106964462	0.092663294	0.107489421	0.10849957	0.197042729	0.093474595	0.098899176	0.11080621	0.108944991	0.108952945	0.108674557	0.108268906	0.107139448	0.09273488	0.108730234	0.108149598	0.108746142	0.108849543	0.108483663	0.109461996	0.110877796	0.107298527	0.105485031	0.139448315	0.108364354	0.108674557	0.109422226	0.107759855	0.107465559	0.107982565	0.106638351	0.107680316	0.187712768	0.186289014	0.194712227	0.187362795	0.092551939	0.196867742	0.094930164	0.111434571	0.11040056	0.108070058	0.155467532	0.107998473	0.095908498	0.109032484	0.096385734	0.196470045	0.11106869	0.113001495	0.19524514
"W_po_A2749_pu"	0.193797525	0.110527823	0.110678948	0.185223187	0.108960898	0.108435939	0.090237345	0.089481722	0.193264611	0.088924947	0.193375966	0.193598676	0.183855111	0.11036079	0.112858325	0.091661099	0	0.090730489	0.112556075	0.113009449	0.111657281	0.113669626	0.105644109	0.091597467	0.107378066	0.11021762	0.194926983	0.090499825	0.096767523	0.110647132	0.109629029	0.1076485	0.107767809	0.109668798	0.107966657	0.091016831	0.107632592	0.107099679	0.109255194	0.109660844	0.108149598	0.10920747	0.111227769	0.107966657	0.107553053	0.141341351	0.10876205	0.109215424	0.108849543	0.109748338	0.108674557	0.108746142	0.107815532	0.109175655	0.187140085	0.184761859	0.193025993	0.185406128	0.090913429	0.194592918	0.092034934	0.114059368	0.113009449	0.109629029	0.154751678	0.109302918	0.093633674	0.110607362	0.095288091	0.194720181	0.112754923	0.114799084	0.193558907
"W_po_A2759_pu"	0.192501034	0.1105835	0.109907416	0.183942604	0.109080207	0.108332538	0.091470205	0.090046451	0.192079476	0.089871464	0.191872673	0.192588527	0.183210843	0.109159747	0.112691292	0.091557698	0.090730489	0	0.111434571	0.112715154	0.110997105	0.113470777	0.106892876	0.091478159	0.106701982	0.108618879	0.194425885	0.091255448	0.096361872	0.111323216	0.109239286	0.108324584	0.109048392	0.10969266	0.106797429	0.091088416	0.10880182	0.107712131	0.108451847	0.109096115	0.109159747	0.109819923	0.111092552	0.108197321	0.106192931	0.139710795	0.107926887	0.109175655	0.108952945	0.108992714	0.107537145	0.108070058	0.107171264	0.10813369	0.18579587	0.184340301	0.192477172	0.184730044	0.090857752	0.193948649	0.091486112	0.113605994	0.111951576	0.107950749	0.153996055	0.108101874	0.092798511	0.109644937	0.095296045	0.193566861	0.112619707	0.113232159	0.192326048
"W_po_A308_jigu"	0.204129681	0.089871464	0.087509147	0.195571251	0.086347873	0.08622061	0.111927715	0.109581305	0.203899017	0.110313067	0.203708123	0.203851293	0.19439407	0.076564538	0.070424104	0.110710763	0.112556075	0.111434571	0	0.068952626	0.069159429	0.067449333	0.08120168	0.111219815	0.079515447	0.082227737	0.205943177	0.112412904	0.116437593	0.068976488	0.086093347	0.081488021	0.081591422	0.079769972	0.081249403	0.111530018	0.08142439	0.080350609	0.078051923	0.081098279	0.081193726	0.081026693	0.085767236	0.0816471	0.080294932	0.113844612	0.080072222	0.080907384	0.085743374	0.085560434	0.08421622	0.079451815	0.080000636	0.080040406	0.196247335	0.194648595	0.203517228	0.194863351	0.110456237	0.205068245	0.11151411	0.070432058	0.068984442	0.079730203	0.165099742	0.080517642	0.114178677	0.074106774	0.114512742	0.205004613	0.069700296	0.070567274	0.204066049
"W_po_A3264_jigu"	0.204567147	0.090563456	0.089919188	0.196963189	0.087485285	0.088964716	0.113828704	0.112309503	0.204336483	0.11195953	0.204352391	0.204527377	0.195165601	0.077176991	0.067425472	0.111800452	0.113009449	0.112715154	0.068952626	0	0.071314944	0.068682193	0.081623238	0.112611753	0.081114187	0.084192358	0.20611021	0.113629856	0.116843244	0.06758455	0.088916993	0.082959499	0.083937832	0.081034647	0.081114187	0.113287837	0.083261748	0.080851707	0.079412045	0.082712927	0.081567561	0.082227737	0.08532977	0.081957303	0.081336897	0.114504788	0.082752696	0.082060704	0.087644364	0.087175082	0.086753524	0.080557411	0.079515447	0.081670962	0.196637078	0.19613598	0.204113773	0.196350737	0.111386847	0.206014762	0.112921956	0.070058223	0.068340174	0.080326747	0.166412141	0.082195921	0.116016035	0.073685215	0.115252458	0.205982947	0.068451529	0.068570838	0.204885304
