"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61"
"26",358.750963320956,362.400612130734,85.8425694775217,104.178937589674,102.664202908673,388.706325486478,373.108252380204,566.135732023889,616.854540005209,87.1640148116445,97.200701319911,89.1456220870163,120.088189183941,83.7782246226079,402.720088538196,80.2047995128159,390.38044004514,361.864796204475,369.75287598337,276.359260198921,279.982314084504,367.804044309137,384.433076099947,247.797519940399,256.013737664493,0,378.516128291701,380.025461211172,262.185661418933,257.345535609597,257.510015548828,250.471360714483,262.017076730436,251.350188201137,80.8252908293375,103.509137238593,245.768762534866,244.834573590693,101.620793811412,417.860727611415,373.653839418346,354.068762928825,249.743906235317,411.777275755244,360.745254634778,109.527811970344,110.402304889666,95.1356950573897,395.902903263642,387.902537184458,103.449131490517,250.716469347845,246.589720799152,398.671162118742,283.758205625514,286.200071257541,370.979765411947,253.706881877507,94.7454037587724,306.238091858465,397.176030643554
"27",91.8504458289825,95.4979331534535,373.504390850662,398.084268350308,394.864246638164,175.36341223797,152.450894711421,364.942145004264,421.837814308619,371.183021720737,378.033851603696,373.576329031085,396.700903993392,373.041354640944,463.83086895071,378.607404738074,114.43153956737,145.500671581475,150.713914415663,385.304319992811,387.790139388191,143.475518529148,168.685400299413,368.632476027052,376.004599368475,378.516128291701,0,103.336092306872,384.373742191444,377.993695418718,377.767709932591,368.844308447737,385.830689466807,372.002174496512,374.918683545372,374.913352024585,371.740491514141,367.437319991787,380.073540689234,478.783166033767,140.748938886907,111.48812604719,366.709246299835,472.689513432533,88.4224060490907,383.698126284411,387.390851830645,380.678635468317,458.281934983743,448.384531635656,387.353117033363,369.87114644003,367.726527350863,461.43569640829,391.123410239512,394.294841409172,101.946682282229,374.580046063532,382.816450394696,414.092261234003,458.937589272347
"28",96.1156589212338,98.1472118114075,375.370440049085,401.009966845969,396.399439693438,179.047185671437,155.727439227952,366.137357035585,423.301859499671,373.154742722418,380.189450031099,375.159001231565,397.829069975028,374.595644786141,466.358808880308,380.196414198858,120.383332430683,149.794343296029,155.043791581378,385.804978110124,389.137502550105,146.768605820914,173.134610690913,369.638355339312,378.072048440303,380.025461211172,103.336092306872,0,384.384591855874,379.113107332424,379.090960920686,371.443130462467,387.852724063816,373.099875993594,376.642027835935,376.452628808488,372.753440550244,368.684019108011,381.581258226484,481.16597528838,145.02095368969,116.102170758822,367.790728003863,473.773911618945,92.220153765582,385.822584206152,389.214025505772,382.642642569239,460.818857963777,451.182852290468,389.528362627614,370.454319687047,368.80470090216,463.904385881889,390.94096070538,395.390870974553,103.855096887717,375.864884733306,384.399205397844,414.910501364302,461.477537974562
"29",364.527507020672,368.246995020503,267.179548168616,286.189586321369,284.757502361657,394.333428005851,379.364934308195,570.114331040301,618.873041733671,265.925136801113,267.032725393342,260.972653541265,292.909444063363,266.670862527693,425.401607899362,268.051484190291,396.214083687334,368.273585322615,375.006764049561,131.968664989376,133.582153728627,373.994108341057,390.37425626872,84.5779989095711,87.0889464547227,262.185661418933,384.373742191444,384.384591855874,0,91.0483249213334,86.6729294309232,82.4920830653884,107.247227593633,103.205313200574,257.77803881476,244.248279071607,96.5789512609276,99.0955633036947,277.037584133872,440.887700901475,379.116469196521,360.382454269766,84.6290162458727,432.514765773903,366.303114955946,281.592197705149,284.377894894756,274.450097918476,418.153160140074,409.957995390537,282.620550869552,87.2723677325719,81.8734199021652,421.666850794084,140.016794675193,141.119697177299,376.651216699955,83.2887554912057,275.121939931497,163.27815025936,418.482666642998
"30",357.952605310131,362.008445354748,263.06471812424,282.964437274313,280.416886107472,387.608999200884,372.351354678344,564.812134982305,613.540416371922,261.762900075961,263.072382120587,257.157946949311,288.648527415495,262.555388078534,420.061033513708,264.389267850101,390.06248293928,361.657799052112,369.047573104344,123.045969760527,124.907558589959,367.425258224028,384.314592967751,78.9005834813602,84.6926580065533,257.345535609597,377.993695418718,379.113107332424,91.0483249213334,0,89.1202353661079,76.0571150020803,103.183604037121,94.6448768437619,253.970547639206,239.260155864064,90.8808260570615,88.9276196302126,272.968547527607,435.429494253892,372.757107855441,354.220362707854,74.7514224750617,427.869729704894,360.037575012366,277.333512466618,280.371649969836,270.136520567364,413.51845154272,404.638376673947,278.677236923899,82.2340644702168,74.2754777684377,416.153991596899,130.769096708913,132.152442280253,370.387445451909,80.5406437231314,271.213728354572,154.0491347549,414.496515958253
"31",358.142988303057,361.646272478449,262.548314128839,282.561516149055,279.961184818852,387.779586943068,371.824996067471,564.967690421549,612.86384955964,261.289815355289,262.858952467768,257.405798249678,288.057612521088,261.934996567896,420.157066079886,264.344014658843,390.114758541731,361.386975959432,368.352737100642,124.467613222514,126.889190083206,366.926610934099,383.785415763288,71.9708256264649,78.2296768894957,257.510015548828,377.767709932591,379.090960920686,86.6729294309232,89.1202353661079,0,72.7496531934992,103.770829719214,95.5484635141869,253.793788619837,238.843402009154,90.2173836795674,93.2526632242094,272.104988249839,435.286897951895,372.589819208886,353.692762374334,77.4398620345877,427.778958072322,359.725962412018,276.901960492284,279.908272931886,269.746578992331,413.672207222685,404.356699720415,278.088427062311,79.7095773748132,73.8613382817178,416.031766554341,132.426812222908,133.830755435109,369.976149174245,84.9652888967739,270.781032042202,155.782213714687,414.466933624853
"32",350.84351528172,354.240335802604,255.825795403275,273.163639871423,273.257312603491,381.210742980914,365.571944732865,557.962053704018,605.692760498038,254.401228524888,255.610650240724,250.371603368272,281.521088287309,254.951351503694,413.046162261398,257.446906301339,382.711200578101,354.473118761045,360.444203843928,113.477282570996,115.334321629773,360.063374036485,376.931105630397,68.0720902045001,72.79633688813,250.471360714483,368.844308447737,371.443130462467,82.4920830653884,76.0571150020803,72.7496531934992,0,95.8382677217314,86.5635771525989,246.48943104326,232.645733799823,84.994291472254,83.5038928097518,265.649100441787,428.059340905202,364.475831361017,347.118989869814,63.6943352486423,419.980526780794,352.671574516386,270.373550259829,273.130297834466,263.207548196986,406.63708550184,398.183735612946,271.334520582521,75.5353353786645,66.0307294845456,409.113916627236,121.139599381923,122.188955441505,363.033122388895,78.1391691861801,264.237739485886,144.580794770414,407.449890389169
"33",366.909245471855,370.41320162767,267.242858355785,286.448972731868,284.540336479181,397.288208146389,381.14663416674,575.391678825509,621.935688867122,264.934103383399,267.115922721724,261.612607777586,292.444127359176,267.013643859249,427.330042615225,268.520766674104,398.993265999618,370.151889274057,377.676646887144,129.111055126216,131.364513179063,376.243312549617,392.882282820736,94.4634129011756,100.912854208036,262.017076730436,385.830689466807,387.852724063816,107.247227593633,103.183604037121,103.770829719214,95.8382677217314,0,101.973663487804,258.162202230648,243.629386101549,93.1095628322321,94.202510545538,277.537161322235,442.428873236803,381.636949076711,362.720375160866,88.3688316249321,435.442076325393,368.25687855953,281.842268067906,284.639507001522,274.274078469811,420.318042277109,411.948986444234,282.722509605471,96.2650420917115,86.8870525572107,423.420119591097,137.135251516432,138.39406828514,378.63899275058,94.9953407692029,275.361376354386,160.506449336834,421.924768773158
"34",352.702588682831,355.806706729053,256.566689730015,276.748698044342,274.246043320767,382.076416587788,366.437925761378,559.837514373159,606.119297819785,255.298234622909,256.099487935041,250.571432226804,282.137608115759,255.954838304921,412.951660257499,258.173238210841,383.90119811587,355.486265837166,362.596267683431,111.47829275291,114.729140182677,361.344305838543,377.734474793751,84.5730706741377,95.9577501175568,251.350188201137,372.002174496512,373.099875993594,103.205313200574,94.6448768437619,95.5484635141869,86.5635771525989,101.973663487804,0,247.850754472239,233.416357705226,93.8704806829125,84.6518703712545,266.1408412571,428.310036045825,366.333776982993,348.232703486776,76.0888804315048,420.623512766553,354.039413729108,270.996281095383,273.722785884413,263.317640676423,406.186860790809,397.180286028498,272.03149338909,84.347231148462,78.5084643312215,408.929781597955,119.269867874492,121.44020085592,364.108052652784,89.4961320267188,264.685814695022,142.661410722569,407.1139826633
"35",355.34316005165,358.774385856576,80.6535414658575,98.4269118165916,97.1325296822911,386.273724744639,369.946513346687,560.933172098424,613.257037391433,76.6923719437547,81.6398063299636,82.8480642572649,111.429142252722,77.5652327427759,398.13798618392,76.1296160421439,387.555491755175,358.239696947428,366.702948992394,272.665445228349,276.398224640891,364.764773133875,380.948326358696,244.238426954576,251.410911650171,80.8252908293375,374.918683545372,376.642027835935,257.77803881476,253.970547639206,253.793788619837,246.48943104326,258.162202230648,247.850754472239,0,92.4886830652022,242.423404382327,240.960460502907,93.4796847811594,414.462046796426,370.165888016033,349.904015809676,245.958685742166,408.068312487692,356.353082548225,100.834648005281,102.503797023464,88.9154215140584,392.638624111383,383.181192799355,94.2067061080659,246.870272083024,242.602706151605,394.934995063527,279.5611956806,280.596693868993,367.271763983007,249.934120172634,88.075115213572,301.988196705041,393.815912901537
"36",355.570730817061,358.919352384521,103.654259402453,124.270413906931,122.004396732017,385.553753020843,369.48049216609,561.754055168866,612.207064634207,99.9294689777439,105.547138683668,103.00686661334,132.120645047351,100.364122413321,401.747784759985,99.2754114719099,386.978187012244,358.730160106554,366.855452708273,259.601969837355,263.437262781275,364.694476454314,381.072848586077,229.808253702877,237.255951542367,103.509137238593,374.913352024585,376.452628808488,244.248279071607,239.260155864064,238.843402009154,232.645733799823,243.629386101549,233.416357705226,92.4886830652022,0,228.410787650829,226.185378747546,113.232695481069,416.037995079854,370.029171619725,350.844997411655,231.405729584249,410.288389654479,357.117910733306,120.969769393014,122.719913147222,108.6153395254,395.486087207639,386.265581705112,118.749421346048,232.590218368271,227.680882355587,397.689827309797,266.046778349359,269.731043335966,367.342794031314,235.634856761614,106.341330118021,289.290254590621,395.930582401903
"37",351.553124979159,354.22541959827,251.104988659601,270.884211858177,268.284679313685,382.86485123838,366.945969246209,559.646343308684,608.350576181625,249.725327970674,251.198396700385,245.266179365111,276.315751385924,250.609751450797,412.366155789788,252.36190611197,383.620728971799,355.503867645742,362.922966792023,123.820823070185,126.253463826675,361.220928082978,378.230738577048,83.7538233275699,88.7580745959056,245.768762534866,371.740491514141,372.753440550244,96.5789512609276,90.8808260570615,90.2173836795674,84.994291472254,93.1095628322321,93.8704806829125,242.423404382327,228.410787650829,0,86.5272912787022,260.920495618085,428.328054938723,366.529973431573,347.939220000529,81.3160578972157,420.916396765275,353.35786910497,265.659614370282,268.147238622078,257.651097510435,406.841307764249,397.908673653111,266.454213901616,85.5483979718636,76.2706187030001,409.5713979138,131.70461235294,133.077504067465,363.743563044568,85.461152945942,259.028785745963,155.097169229736,407.584729197
"38",348.000210848988,351.412222633657,250.058045162767,269.868172563306,267.568259826372,378.407083828343,362.375659164082,555.899876248589,604.594381926491,248.334383521152,249.568487640877,244.648666362778,275.726179569087,249.536001792289,409.656392333365,251.536321578386,379.575321776816,351.549413517842,358.758141605157,106.429607839918,108.025532325991,357.172716622083,373.817560973821,81.5926153255487,93.2044050898677,244.834573590693,367.437319991787,368.684019108011,99.0955633036947,88.9276196302126,93.2526632242094,83.5038928097518,94.202510545538,84.6518703712545,240.960460502907,226.185378747546,86.5272912787022,0,259.766590027637,423.683593742223,362.630569084428,343.759541078113,71.5435421573592,416.631971181066,349.167016235574,264.216694351363,267.225789246266,257.141385303845,402.710786917761,394.180887797642,265.226404328953,78.2378002532995,69.6823925735053,404.981362941802,113.701504686768,115.248354596105,359.892970699585,79.2442173562969,258.073042387496,137.296180804787,403.931025353122
