spec,Lat,Long
Malacoptila,-8.69,-61.41
Malacoptila,-4.53,-71.62
Malacoptila,-4.88,-56.97
Malacoptila,-1.95,-51.6
Malacoptila,-4.54,-55.21
Malacoptila,-8.65,-61.42
Malacoptila,-6.03,-55.32
Malacoptila,-6.55,-62.05
Malacoptila,-4.62,-56.6
Malacoptila,-2.53,-48.73
Malacoptila,-4.88,-56.97
Malacoptila,-9.56,-65.04
Malacoptila,-4.53,-71.62
Malacoptila,-10.26,-58.29
Malacoptila,-4.39,-60.95
Malacoptila,-4.62,-56.6
Malacoptila,-2.47,-56
Malacoptila,-9.94,-54.34
Malacoptila,-1.95,-51.6
Malacoptila,-6.55,-62.05
Malacoptila,-5.35,-57.48
Malacoptila,-6.55,-62.05
Malacoptila,-1.95,-51.6
Malacoptila,-6.55,-62.05
Malacoptila,-4.54,-55.21
Malacoptila,-4.28,-77.24
Malacoptila,-6.25,-57.87
Malacoptila,-4.99,-61.57
Malacoptila,-8.69,-61.41
Malacoptila,-14.27,-60.87
Malacoptila,-4.28,-77.24
Malacoptila,-1.88,-48.78
Malacoptila,-1.95,-51.6
Malacoptila,-6.25,-57.87
Malacoptila,-6.55,-62.05
Malacoptila,-3.91,-58.29
Malacoptila,-1.95,-51.6
Malacoptila,-8.66,-64.24
Malacoptila,-4.89,-75.14
Malacoptila,-3.36,-54.95
Malacoptila,-4.89,-75.14
Malacoptila,-7.13,-55.43
Malacoptila,-4.28,-77.24
Malacoptila,-4.54,-55.21
Malacoptila,-8.69,-61.41
Malacoptila,-1.2,-48.3
Malacoptila,-1.95,-51.6
Malacoptila,-10.43,-61.05
Malacoptila,-1.58,-48.7
Malacoptila,-10.26,-58.29
Malacoptila,-4.18,-57.1
Malacoptila,-5.57,-57.31
Malacoptila,-5.88,-52.8
Malacoptila,-4.28,-77.24
Malacoptila,-5.57,-57.31
Malacoptila,-3.15,-55.82
Malacoptila,-4.62,-56.6
Malacoptila,-9.56,-56.76
Malacoptila,-3.71,-55.59
Malacoptila,-9.42,-55.32
Malacoptila,-2.53,-48.73
Malacoptila,-6.55,-62.05
Malacoptila,-4.49,-71.55
Malacoptila,-2.47,-56
Malacoptila,-8.69,-61.41
Malacoptila,-3.15,-55.82
Malacoptila,-2.53,-48.73
Malacoptila,-4.49,-71.55
Malacoptila,-5.57,-57.31
Malacoptila,-1.95,-51.6
Malacoptila,-4.28,-77.24
Malacoptila,-4.28,-77.24
Malacoptila,-8.65,-61.42
Malacoptila,-8.7,-61.4
Malacoptila,-2.53,-48.73
Malacoptila,-4.99,-61.57
Malacoptila,-1.95,-51.6
Malacoptila,-5.57,-57.31
Malacoptila,-4.28,-77.24
Malacoptila,-4.28,-77.24
Malacoptila,-9.94,-54.34
Malacoptila,-2.47,-56
Malacoptila,-8.91,-60
Malacoptila,-6.32,-55.77
Malacoptila,-7.13,-55.43
Malacoptila,-4.89,-75.14
Malacoptila,-3.71,-55.59
Malacoptila,-6.55,-62.05
Malacoptila,-1.95,-51.6
Malacoptila,-4.98,-62.13
Malacoptila,-8.75,-57.47
Malacoptila,-5.57,-57.31
Malacoptila,-4.98,-62.13
Malacoptila,-1.95,-51.6
Malacoptila,-1.95,-51.6
