"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"M_ru_A15176_suta"	0.042679056541498464	0.044164318176047934	0.04106684946809861	0.04205702389113159	0.040622540432122274	0.04293294741919923	0.11668824739127123	0.11654860740853581	0.040660624063777386	0.11746261456825856	0.0	0.10333358722421103	0.11856703988625689	0.11766572727041917	0.11776728362149948	0.11690405463731689	0.11223246248762282	0.04157463122350014	0.12523167542590194	0.10474268159545028	0.0395688932896641	0.11196587706603701	0.046728616040825656	0.045725747073907634	0.04038134409830655	0.10328280904867088	0.10497118338538096	0.041346129433569453	0.10241958006448829	0.11058217178256785	0.12566328991799325	0.04060984588823723	0.041231878538604105	0.10354939447025668	0.10280041638103943	0.1058471069134486	0.12427958463452408	0.12335288293091629	0.12393683194962805	0.12413994465178867	0.11331149871785107	0.11685327646177673	0.049419859344453754	0.04967375022215452	0.05004189199482063	0.04921674664229314	0.10509812882423135	0.1049204052098408	0.03984817325513494	0.11701830553228222
"M_ru_A16195_pa"	0.10371442354076219	0.10380328534795745	0.10260999822276386	0.10273694366161423	0.10148018381699546	0.10346053266306142	0.12526975905755705	0.12472389367050042	0.10342244903140631	0.12622184984893492	0.10333358722421103	0.0	0.12707238428923248	0.12573945718130347	0.12513011907482163	0.1250539518115114	0.12111864320714957	0.103320892680326	0.1340162997943484	0.03598903191408333	0.102990834539315	0.1211313377510346	0.10466651433214004	0.10506004519257624	0.102990834539315	0.03447838119176378	0.03614136644070379	0.10288927818823469	0.03706806814431157	0.1193667961510143	0.1337877980044177	0.10281311092492447	0.10267347094218905	0.03573514103638256	0.035519333790336914	0.03813440983065478	0.13273415086195953	0.13145200192957068	0.13307690354685556	0.1323913981770635	0.12303551933379034	0.12586640262015386	0.10415873257673852	0.10367633990910706	0.10379059080407241	0.10342244903140631	0.03614136644070379	0.03639525731840455	0.10258460913499377	0.1259806535151192
"M_ru_A207_jigu"	0.11968415974814024	0.12015385787188666	0.1194683525020946	0.11982379973087567	0.11805925813085535	0.1197349379236804	0.06479295198923503	0.06612587909716404	0.11979841064310559	0.0663797699748648	0.11856703988625689	0.12707238428923248	0.0	0.06523726102521137	0.06622743544824435	0.06462792291872953	0.06533881737629167	0.12023002513519689	0.09481554827735039	0.12830375504608119	0.12023002513519689	0.06591007185111838	0.11771650544595932	0.11821159265747581	0.12061086145174804	0.12765633330794424	0.12876075862594258	0.1198999669941859	0.1260822098661995	0.054218396932998195	0.09466321375072993	0.11941757432655445	0.11925254525604895	0.12774519511513951	0.1274786096935537	0.12966207124178028	0.093355675730571	0.09278442125574428	0.09352070480107649	0.09349531571330642	0.06316805037195014	0.035557417421992026	0.11169929164445122	0.1111661208012796	0.10988397186889075	0.1111661208012796	0.12878614771371263	0.12878614771371263	0.11896057074669307	0.03100007616726331
"M_ru_A2741_pu"	0.11964607611648513	0.11955721430928987	0.11866859623733719	0.11892248711503796	0.11659938558407597	0.11929062888770406	0.038832609744331885	0.04080026404651281	0.1192017670805088	0.041612714855155254	0.11766572727041917	0.12573945718130347	0.06523726102521137	0.0	0.04036864955442151	0.03937847513138853	0.06725569350293244	0.11899865437834818	0.09063904333917282	0.1265392134460609	0.11851626171071673	0.06803006067991978	0.11813542539416559	0.11751339274379871	0.1193033234315891	0.12619646076116486	0.12732627516693326	0.11932871251935918	0.12426689009063904	0.06441211567268389	0.09058826516363266	0.11915098890496864	0.11822428720136086	0.12613298804173967	0.12594256988346408	0.12784675146621982	0.08915378170462335	0.08865869449310686	0.08919186533627847	0.08952192347728946	0.06731916622235763	0.06418361388275319	0.11290527331352984	0.11229593520704802	0.1107598953969584	0.11211821159265747	0.1267423261482215	0.12681849341153173	0.11770381090207428	0.06434864295325869
"M_ru_A436_pu"	0.11974763246756544	0.11907482164165842	0.11836392718409627	0.11869398532510726	0.11682788737400665	0.11911290527331353	0.039822784167364865	0.040317871378881355	0.11894787620280803	0.04206971843501663	0.11776728362149948	0.12513011907482163	0.06622743544824435	0.04036864955442151	0.0	0.03942925330692868	0.06974382410439993	0.11866859623733719	0.0920608322542971	0.1262091553050499	0.11849087262294666	0.06955340594612436	0.11724680732221292	0.11728489095386803	0.11897326529057811	0.12596795897123417	0.1271485515525427	0.11917637799273872	0.12426689009063904	0.06507223195470586	0.09178155228882626	0.11882093076395765	0.1180719526747404	0.12592987533957906	0.12576484626907355	0.1276690278518293	0.09057557061974764	0.08995353796938076	0.09099449056795389	0.09129915962119481	0.06838550790870083	0.06507223195470586	0.11257521517251885	0.11221976794373778	0.11073450630918831	0.11224515703150786	0.1265392134460609	0.12676771523599156	0.11767842181430421	0.06467870109426968
"M_ru_A440_pu"	0.11898595983446315	0.1183385380963262	0.11752608728768375	0.11831314900855612	0.1158123238632036	0.11852895625460177	0.04015284230837586	0.04095259857313327	0.11859242897402697	0.040394038642191585	0.11690405463731689	0.1250539518115114	0.06462792291872953	0.03937847513138853	0.03942925330692868	0.0	0.06778886434610404	0.11805925813085535	0.09000431614492091	0.12562520628633814	0.11783075634092467	0.06879173331302206	0.1167136364790413	0.11682788737400665	0.11854165079848682	0.12561251174245308	0.12656460253383095	0.11871937441287735	0.1238860537740879	0.06433594840937365	0.08987737070607053	0.11805925813085535	0.11725950186609795	0.12559981719856805	0.1253078426892122	0.12736435879858837	0.0887729453880722	0.08789702186000457	0.0888364181074974	0.0889379744585777	0.0669129408180364	0.0642851702338335	0.11155965166171579	0.11089953537969381	0.11081067357249855	0.11150887348617564	0.12610759895396959	0.12628532256836011	0.11734836367329322	0.06381547211008709
"M_ru_A474_ma"	0.11378119684159749	0.11376850229771245	0.11249904790920862	0.11341305506893137	0.11060756087033793	0.11281641150633458	0.06871556604971184	0.0688044278569071	0.11277832787467947	0.06926143143676848	0.11223246248762282	0.12111864320714957	0.06533881737629167	0.06725569350293244	0.06974382410439993	0.06778886434610404	0.0	0.11298144057684008	0.0902328179348516	0.12229923578845812	0.11270216061136923	0.041269962170259224	0.11171198618833625	0.11180084799553153	0.1135907786833219	0.12180414857694163	0.1232894102114911	0.11310838601569045	0.12015385787188666	0.04389773275446213	0.08985198161830045	0.1135907786833219	0.11218168431208267	0.12151217406758576	0.12132175590931017	0.1236575519841572	0.08869677812476198	0.08769390915784396	0.08909030898519817	0.08878563993195725	0.04149846396018991	0.060857643384873185	0.10678650316094143	0.10696422677533196	0.10494579429761089	0.10612638687891944	0.12214690126183766	0.12257851575392896	0.11265138243582908	0.062419072282732885
"M_ru_A5487_suta"	0.043326478279635414	0.04397390001777236	0.041841216645085944	0.04278061289257877	0.04152385304795999	0.04340264554294564	0.11781806179703963	0.11808464721862544	0.04140960215299464	0.11803386904308528	0.04157463122350014	0.103320892680326	0.12023002513519689	0.11899865437834818	0.11866859623733719	0.11805925813085535	0.11298144057684008	0.0	0.1265138243582908	0.10506004519257624	0.041155711275293876	0.1131210805595755	0.04724909234011222	0.04634777972427451	0.04107954401198365	0.10360017264579684	0.10490771066595578	0.042679056541498464	0.10222916190621271	0.11178815345164649	0.12732627516693326	0.04072409678320258	0.041041460380328534	0.10361286718968188	0.10278772183715439	0.10550435422855257	0.12584101353238378	0.12440653007337446	0.12582831898849875	0.12575215172518853	0.11461903673801001	0.11851626171071673	0.04950872115164902	0.05057506283799223	0.05074009190849773	0.050422728311371776	0.1048823215781857	0.10506004519257624	0.040546373168812044	0.11850356716683169
"M_ru_A7875_In"	0.12695813339426715	0.12699621702592226	0.12610759895396959	0.1265138243582908	0.12444461370502957	0.1260441262345444	0.08991545433772564	0.09129915962119481	0.1259806535151192	0.09157843958666564	0.12523167542590194	0.1340162997943484	0.09481554827735039	0.09063904333917282	0.0920608322542971	0.09000431614492091	0.0902328179348516	0.1265138243582908	0.0	0.1349176124101861	0.12712316246477265	0.0899662325132658	0.12613298804173967	0.12594256988346408	0.12613298804173967	0.13449869246197985	0.13529844872673724	0.1264122680072105	0.13284840175692486	0.08944575621397924	0.03333587224211034	0.1264376570949806	0.12535862086475233	0.13440983065478457	0.13409246705765862	0.13538731053393252	0.02959098179602407	0.030060679919770482	0.031939472414756136	0.03188869423921598	0.0903978470053571	0.09327950846726077	0.1229593520704801	0.12204534491075736	0.12109325411937949	0.12255312666615889	0.1351207251123467	0.1351461142001168	0.12554903902302791	0.09410465381978826
"M_ru_A9235_pa"	0.10547896514078249	0.10508543428034631	0.1044507070860944	0.1041206489450834	0.10291466727600478	0.1049204052098408	0.1261202934978546	0.12562520628633814	0.10531393607027699	0.12692004976261204	0.10474268159545028	0.03598903191408333	0.12830375504608119	0.1265392134460609	0.1262091553050499	0.12562520628633814	0.12229923578845812	0.10506004519257624	0.1349176124101861	0.0	0.10460304161271486	0.12254043212227385	0.10620255414222966	0.10636758321273516	0.10424759438393379	0.03497346840328027	0.037118846319851725	0.10465381978825501	0.03710615177596669	0.12052199964455278	0.13473988879579557	0.10447609617386447	0.10393023078680783	0.03615406098458882	0.036471424581714776	0.03954350420189402	0.1339147434432681	0.1324294818087186	0.13430827430370426	0.1332927107929012	0.12426689009063904	0.12671693706045142	0.10587249600121867	0.10531393607027699	0.10565668875517302	0.10516160154365653	0.03739812628532257	0.03678878817884074	0.10406987076954324	0.12708507883311754
